nu_inscricao,nota_cn,nota_ch,nota_lc,nota_mt,media_aluno,nota_redacao,escola_do_aluno,escola_da_prova,faixa_etaria,tipo_escola,genero,cor_raca,sigla_estado,Estado,estado_civil,quantidade_total,quantidade_desistentes,quantidade_aplicantes,metrica_celular,metrica_computador,metrica_internet,escola_r_u,renda_mensal,lingua_estrangeira
190002706857,505,508,512,518,510.75,540,,Natal,Entre 41 e 45 anos,null,M,Parda,,null,Casado(a)/Mora com companheiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"De R$ 998,01 até R$ 1.497,00",Espanhol
190002853293,503,508,512,515,509.5,620,,Rio de Janeiro,Entre 36 e 40 anos,null,M,Preta,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 998,01 até R$ 1.497,00",Espanhol
190004634565,506,508,512,517,510.75,440,,Neópolis,21 anos,null,M,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Espanhol
190002001181,504,508,512,516,510.0,480,,Boa Vista,Entre 26 e 30 anos,null,F,Indígena,,null,Casado(a)/Mora com companheiro(a),5095171,1160010,3935161,Sim,Sim,Não,null,"Até R$ 998,00",Espanhol
190003074420,503,508,512,515,509.5,780,,São Luís,Menor de 17 anos,null,F,Amarela,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 8.982,01 até R$ 9.980,00",Inglês
190002319201,503,508,512,515,509.5,660,,Botucatu,Menor de 17 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 2.495,01 até R$ 2.994,00",Inglês
190004979499,505,508,512,518,510.75,540,,Belford Roxo,Menor de 17 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 1.996,01 até R$ 2.495,00",Inglês
190004363741,503,508,512,515,509.5,800,,Vila Velha,18 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 2.994,01 até R$ 3.992,00",Inglês
190003454601,503,508,512,515,509.5,520,,Carmópolis,Menor de 17 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"Até R$ 998,00",Espanhol
190003448818,506,508,512,517,510.75,840,,Feira de Santana,24 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 1.996,01 até R$ 2.495,00",Espanhol
190005755294,505,508,512,518,510.75,400,,Itaúna,Entre 26 e 30 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"De R$ 2.495,01 até R$ 2.994,00",Inglês
190003304562,505,508,512,518,510.75,580,,Bauru,17 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 4.990,01 até R$ 5.988,00",Inglês
190003379902,504,508,512,516,510.0,620,,Lajeado,19 anos,null,M,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 5.988,01 até R$ 6.986,00",Espanhol
190001346939,505,508,512,518,510.75,720,,Floresta,23 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 998,01 até R$ 1.497,00",Inglês
190001141187,,508,512,,255.0,300,,Fortaleza,Entre 41 e 45 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"Até R$ 998,00",Espanhol
190004576294,503,508,512,515,509.5,560,,Sumé,19 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Espanhol
190001479717,503,508,512,515,509.5,560,,Pau dos Ferros,18 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Espanhol
190001194343,503,508,512,515,509.5,520,,São Luís,Entre 26 e 30 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Inglês
190002695943,506,508,512,517,510.75,820,,Fortaleza,18 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 1.497,01 até R$ 1.996,00",Inglês
190005854265,505,508,512,518,510.75,480,,Santo André,18 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 2.495,01 até R$ 2.994,00",Inglês
190001190555,504,508,512,516,510.0,520,,Porto Grande,22 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 998,01 até R$ 1.497,00",Espanhol
190004785774,506,508,512,517,510.75,760,,Sorocaba,20 anos,null,M,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 2.994,01 até R$ 3.992,00",Inglês
190003932865,506,508,512,517,510.75,500,,São Luís,18 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"De R$ 998,01 até R$ 1.497,00",Espanhol
190005000300,504,508,512,516,510.0,360,,Vila Velha,Entre 36 e 40 anos,null,F,Preta,,null,Casado(a)/Mora com companheiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 1.497,01 até R$ 1.996,00",Inglês
190001779679,504,508,512,516,510.0,880,,Nova Xavantina,Menor de 17 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 4.990,01 até R$ 5.988,00",Inglês
190001396146,504,508,512,516,510.0,280,,São Cristóvão,Entre 46 e 50 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Espanhol
190001055545,504,508,512,516,510.0,560,,Parauapebas,Entre 31 e 35 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 998,01 até R$ 1.497,00",Espanhol
190005427307,,508,512,,255.0,400,,Belém,20 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"Até R$ 998,00",Espanhol
190001462477,503,508,512,515,509.5,460,,Campina Grande,24 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 998,01 até R$ 1.497,00",Inglês
190001843660,,508,512,,255.0,640,,São Paulo,24 anos,null,F,Amarela,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 998,01 até R$ 1.497,00",Inglês
190004897764,503,508,512,515,509.5,540,,Paranavaí,Entre 26 e 30 anos,null,M,Preta,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 1.996,01 até R$ 2.495,00",Espanhol
190001057200,503,508,512,515,509.5,560,,Reden�ão,17 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Não,Não,Sim,null,"Até R$ 998,00",Espanhol
190001400218,503,508,512,515,509.5,680,,Jacobina,Menor de 17 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 998,01 até R$ 1.497,00",Inglês
190001881655,505,508,512,518,510.75,460,,Curitiba,18 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 1.996,01 até R$ 2.495,00",Inglês
190005952305,504,508,512,516,510.0,560,,Santa Vitória do Palmar,Entre 31 e 35 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 998,01 até R$ 1.497,00",Inglês
190001165863,503,508,512,515,509.5,520,,Barro,20 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 998,01 até R$ 1.497,00",Inglês
190001202221,505,508,512,518,510.75,640,,Santana,19 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,Nenhuma renda,Espanhol
190002162921,506,508,512,517,510.75,520,,Pouso Alegre,21 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 1.996,01 até R$ 2.495,00",Inglês
